Plot	location	contact_info	notes	last_frost_month	last_frost_day	first_frost_month	first_frost_day
6411 Sooke Rd.							
786 Saunders lane							
Belvista Forest and Beach							
Everything Edible Landscaping							
Great 2 for 1 Pizza	894 Langford Pkwy #114, Victoria, BC V9B 0A7						
Larkspur 6941	Larkspur 6941	Elliot					
Poirier			Elementary School				
Poirier Elementary							
Rainbow Kitchen	500 Admirals						
Sooke Family resources Society	48.382206,-123.724274						
Spring Ridge	Chambers & Gladstone						
Throup Stream							
