ID	Use	Catagory	Description
1	Chocolate	Edible	substitutes for chocolate, that is.
2	Coffee	Edible	the various substitutes that can be used instead of coffee.
3	Colouring	Edible	edible dyes
4	Condiment	Edible	the various plants that are used as flavourings, either as herbs, spices or condiments.
5	Curdling agent	Edible	used to curdle soya milk in making cheese.
6	Drink	Edible	not including plant saps, tea or coffee substitutes.
7	Egg	Edible	Substitutes for eggs.
8	Flowers	Edible	
9	Fruit	Edible	
10	Gelatine	Edible	substitutes that is.
11	Gum	Edible	can be chewed as a chewing gum or can often be used as a sweetener or thickening agent in foods.
12	Inner bark	Edible	the bark that is found just beneath the tough outer bark of trees and shrubs.
13	Leaves	Edible	
14	Manna	Edible	this is a sweet substance that exudes naturally from certain plants, usually from the stems.
15	Milk	Edible	made from plants, that is.
16	Nectar	Edible	produced in such abundance by some flowers that it can be harvested fairly easily.
17	Oil	Edible	
18	Pectin	Edible	a substance that is used to thicken jams etc and as a culture medium in laboratories.
19	Pollen	Edible	
20	Root	Edible	includes bulbs, corms, tubers, rhizomes etc.
21	Rutin	Edible	often used as a food supplement.
22	Salt	Edible	plants that provide a substitute for salt.
23	Sap	Edible	usually of trees and usually but not always used as a drink.
24	Seed	Edible	includes nuts, cereals, peas and beans.
25	Seedpod	Edible	things such as Okra, French and Runner beans.
26	Stabilizer	Edible	this is often a gum and could perhaps be included there.
27	Stem	Edible	this often intergrades into leaves.
28	Sweetener	Edible	includes sugar substitutes.
29	Tea	Edible	the various herb teas that can be used in place of tea, plus the genuine article.
