id	bed	shade	area	soil	moisture	pH	Well_drained	Acid	Alkaline	Drought	Poor	Saline	Heavy_clay	Wind	Pollution	Meadow	Woodland	Wall	Hardiness_Zone	Frost_tender	sunmap
1	1Gal																				
2	ASHPHALT																				
3	BEACH																				
4	BED																				
5	BERM																				
6	berries																				
7	BIG																				
8	COMPOST																				
9	CORNER																				
10	CURVE STUMP																				
11	CURVING																				
12	Dish																				
13	DRIVE																				
14	EDGE																				
15	END																				
16	END NORTH COMPOST HILL																				
17	ENTRY																				
18	FENCE																				
19	FENCE north																				
20	FIR																				
21	FOREST																				
22	FRONT																				
23	GREENHOUSE																				
24	GREENHOUSE, NORTH																				
25	GUEST																				
26	HAMMOCK																				
27	HEART																				
28	HEDGE																				
29	HERB																				
30	HIGHWAY																				
31	HIGHWAY STAND HUCK SUN																				
32	HILL																				
33	HOUSE																				
34	HUT																				
35	in flat																				
36	in flat in greenhouse																				
37	indoors																				
38	INNER																				
39	INNER south																				
40	invasive																				
41	JAY																				
42	LAWN																				
43	LOOKOUT																				
44	LOST																				
45	MOON																				
46	NORTH																				
47	OCEAN NURSERY																				
48	OVERHANG																				
49	PASSAGE																				
50	PATTY																				
51	PLUM																				
52	POWER																				
53	ROUND																				
54	ROUND HEDGE SUN																				
55	SCREEN																				
56	SEED																				
57	seed pack																				
58	SEEDS																				
59	SHADE JAY																				
60	SHOP																				
61	SIDE																				
62	STONE																				
63	SUN																				
64	SUNNY																				
65	Tri																				
66	TUB																				
67	WATER																				
68	(empty)																				
69	back yard																				
70	existing																				
71	front yard																				
72	furnace room window																				
73	rock border under fig																				
74	under arbour																				
75	under fig																				
76	under trellis																				
77	West side pool																				
78	(empty)																				
79	(empty)																				
80	Dish																				
81	SUN																				
82	(empty)																				
83	(empty)																				
84	F1																				
85	(empty)																				
86	(empty)																				
87	(empty)																				
88	(empty)																				
89	(empty)																				
