id	plot_plant_id	date	practice	notes
0	2255	2023-07-24	sowed seed	
2	2255	2023-07-10	sowed seed	
3	2292	2023-07-21	sowed seed	
4	2357	2023-10-25	sowed seed	
5	2394	2023-12-05	sowed seed	
7	2425	2024-02-11	sowed seed	
8	2117	2024-02-11	sowed seed	
9	2455	2024-02-11	sowed seed	
10	2452	2024-01-29	sowed seed	
11	2452	2024-02-11	sowed seed	
12	2454	2024-02-11	sowed seed	
13	2448	2024-02-09	sowed seed	
14	2445	2024-02-11	sowed seed	
15	2124	2024-02-14	Cuttings	in sand
18	2424	2024-03-20	sowed seed	two rows
19	2430	2024-03-20	sowed seed	
20	2301	2024-03-25	Harvest root	15lbs
21	2301	2024-03-25	Division	8 pieces put in willow water
22	2469	2024-04-04	pot up	POTTED PLANT CROWNS
23	2469	2024-02-02	Harvest root	
24	2469	2024-02-02	division	
25	2469	2024-02-02	plant into permanent position	SUN
26	2469	2024-03-19	Division	
27	2424	2024-04-05	potted up	"34x4"""
28	2117	2024-04-06	pot seedlings	7x1gal
29	2117	2024-04-05	pot seedlings	10x1gal
30	2117	2024-04-04	pot seedlings	10xgal
31	2181	2024-04-06	In bloom	
32	2234	2024-04-23	Sew seeds	"15 4""*3-5 seeds"
34	2458	2024-03-16	planted tops	
35	2175	2024-05-24	seed in flat	
36	2487	2024-05-26	sow seed	
37	2488	2024-05-26	Sow Seed	
38	2489	2024-05-30	Harvest leaves	1 tote
39	2490	2024-05-31	harvest leaves	3 totes
40	2417	2024-06-02	Harvest leaves and stems	1 tray
41	2423	2024-06-02	Sew seed	1 row
42	2234	2024-06-04	Transplanted	
43	2234	2024-06-07	seeweed mulched	
44	2234	2024-06-03	Bed weeded	
45	2235	2024-06-09	Sew seeds	3 seeds
46	2542	2024-07-13	raise soil PH	3L ashes where garlic was
47	2543	2024-07-13	raise soil PH	1 L ashes
48	2544	2024-07-14	Plant out	14
49	2545	2024-07-20	harvest seeds	volunteer
50	2156	2024-07-27	harvest bertries	
51	2542	2024-07-29	Sew seeds	where garlic was
52	2546	2024-07-29	Sew seeds	
53	2547	2024-07-29	pot up seedlings	
54	2194	2024-08-11	save seed	
55	2454	2024-08-11	harvest seed	
56	2454	2024-08-11	harvrest fruit	
57	2115	2024-08-11	harvest leaves and new shoots	cut into old wood.  Left some unharvested
58	2556	2024-08-18	sow seed	planted berries in flat in potting mix
59	2571	2024-09-10	Sew seeds	
60	2964	2024-10-25	sew cloves	
61	2965	2024-10-25	sew cloves	
62	2966	2024-10-25	harvest cobs	
63	2992	2024-10-30	harvest berries/seeds	
64	2992	2024-10-30	divide	
